"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_pungut_hasil_hutan_punya_izin";"n_utp_pungut_hasil_hutan_punya_izin";"volume_produksi_punya_izin";"nilai_produksi_punya_izin";"rerata_produksi_per_komoditas_punya_izin";"rerata_produksi_per_rtup_punya_izin";"rerata_produksi_per_utp_punya_izin";"n_rtup_pungut_hasil_hutan_tak_punya_izin";"n_utp_pungut_hasil_hutan_tak_punya_izin";"volume_produksi_tak_punya_izin";"nilai_produksi_tak_punya_izin";"rerata_produksi_per_komoditas_tak_punya_izin";"rerata_produksi_per_rtup_tak_punya_izin";"rerata_produksi_per_utp_tak_punya_izin";"n_rtup_pungut_hasil_hutan_ada_izin_dan_tidak";"n_utp_pungut_hasil_hutan_ada_izin_dan_tidak";"volume_produksi_ada_izin_dan_tidak";"nilai_produksi_ada_izin_dan_tidak";"rerata_produksi_per_komoditas_ada_izin_dan_tidak";"rerata_produksi_per_rtup_ada_izin_dan_tidak";"rerata_produksi_per_utp_ada_izin_dan_tidak"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310050] KEWAPANTE";"53";"5310";"5310050";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310052] KANGAE";"53";"5310";"5310052";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310061] PALUE";"53";"5310";"5310061";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310062] KOTING";"53";"5310";"5310062";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310070] NITA";"53";"5310";"5310070";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0.00";"0.00";-;-;-;"6";"6";"195.00";"21.69";"111.24";"3615.33";"3615.33";"6";"6";"195.00";"21.69";"111.24";"3615.33";"3615.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310081] ALOK BARAT";"53";"5310";"5310081";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310082] ALOK TIMUR";"53";"5310";"5310082";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6408";"[5310] SIKKA";"53";"5310";"5310999";"0";"0";"0.00";"0.00";-;-;-;"30";"30";"556.00";"75.63";"136.02";"2520.90";"2520.90";"30";"30";"556.00";"75.63";"136.02";"2520.90";"2520.90"
