"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_pungut_hasil_hutan_punya_izin";"n_utp_pungut_hasil_hutan_punya_izin";"volume_produksi_punya_izin";"nilai_produksi_punya_izin";"rerata_produksi_per_komoditas_punya_izin";"rerata_produksi_per_rtup_punya_izin";"rerata_produksi_per_utp_punya_izin";"n_rtup_pungut_hasil_hutan_tak_punya_izin";"n_utp_pungut_hasil_hutan_tak_punya_izin";"volume_produksi_tak_punya_izin";"nilai_produksi_tak_punya_izin";"rerata_produksi_per_komoditas_tak_punya_izin";"rerata_produksi_per_rtup_tak_punya_izin";"rerata_produksi_per_utp_tak_punya_izin";"n_rtup_pungut_hasil_hutan_ada_izin_dan_tidak";"n_utp_pungut_hasil_hutan_ada_izin_dan_tidak";"volume_produksi_ada_izin_dan_tidak";"nilai_produksi_ada_izin_dan_tidak";"rerata_produksi_per_komoditas_ada_izin_dan_tidak";"rerata_produksi_per_rtup_ada_izin_dan_tidak";"rerata_produksi_per_utp_ada_izin_dan_tidak"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310052] KANGAE";"53";"5310";"5310052";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310061] PALUE";"53";"5310";"5310061";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310062] KOTING";"53";"5310";"5310062";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310070] NITA";"53";"5310";"5310070";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0.00";"0.00";-;-;-;"1";"1";"20.00";"4.00";"200.00";"4000.00";"4000.00";"1";"1";"20.00";"4.00";"200.00";"4000.00";"4000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"1";"57.00";"0.27";"4.67";"266.00";"266.00";"7";"7";"374.00";"1.68";"4.50";"240.43";"240.43";"8";"8";"431.00";"1.95";"4.52";"243.63";"243.63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310082] ALOK TIMUR";"53";"5310";"5310082";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6499";"[5310] SIKKA";"53";"5310";"5310999";"1";"1";"57.00";"0.27";"4.67";"266.00";"266.00";"9";"9";"395.00";"6.28";"15.91";"698.11";"698.11";"10";"10";"452.00";"6.55";"14.49";"654.90";"654.90"
